,ts_name,run,forecast_type,error_metric,error,level
175,SA-Male-Remanded,1,adjusted,SMAPE,11.133171090241307,4
176,SA-Male-Sentenced,1,original,MASE,4.398167483836286,4
177,SA-Male-Sentenced,1,adjusted,MASE,4.124478467056323,4
178,SA-Male-Sentenced,1,original,SMAPE,6.097982178958904,4
179,SA-Male-Sentenced,1,adjusted,SMAPE,5.746639834823877,4
180,TAS-Female-Remanded,1,original,MASE,2.9023398242710203,4
181,TAS-Female-Remanded,1,adjusted,MASE,2.765526791203704,4
182,TAS-Female-Remanded,1,original,SMAPE,67.3714080162657,4
183,TAS-Female-Remanded,1,adjusted,SMAPE,62.85272793330834,4
184,TAS-Female-Sentenced,1,original,MASE,1.8892416172403046,4
185,TAS-Female-Sentenced,1,adjusted,MASE,1.9714568823529413,4
186,TAS-Female-Sentenced,1,original,SMAPE,27.5331845739102,4
187,TAS-Female-Sentenced,1,adjusted,SMAPE,28.731041251262308,4
188,TAS-Male-Remanded,1,original,MASE,4.003962536023055,4
189,TAS-Male-Remanded,1,adjusted,MASE,3.4577685194524492,4
190,TAS-Male-Remanded,1,original,SMAPE,31.540610503779128,4
191,TAS-Male-Remanded,1,adjusted,SMAPE,26.56820739571145,4
192,TAS-Male-Sentenced,1,original,MASE,2.175364625349258,4
193,TAS-Male-Sentenced,1,adjusted,MASE,1.8829680665887845,4
194,TAS-Male-Sentenced,1,original,SMAPE,10.204533362276784,4
195,TAS-Male-Sentenced,1,adjusted,SMAPE,8.744753306483155,4
196,VIC-Female-Remanded,1,original,MASE,5.939748245022429,4
197,VIC-Female-Remanded,1,adjusted,MASE,4.84765125,4
198,VIC-Female-Remanded,1,original,SMAPE,18.877051876671374,4
199,VIC-Female-Remanded,1,adjusted,SMAPE,14.957646773725239,4
200,VIC-Female-Sentenced,1,original,MASE,3.744676700905421,4
201,VIC-Female-Sentenced,1,adjusted,MASE,5.390079928366761,4
202,VIC-Female-Sentenced,1,original,SMAPE,11.332410279711414,4
203,VIC-Female-Sentenced,1,adjusted,SMAPE,15.830028909350059,4
204,VIC-Male-Remanded,1,original,MASE,5.864669421485989,4
205,VIC-Male-Remanded,1,adjusted,MASE,4.985353615702478,4
206,VIC-Male-Remanded,1,original,SMAPE,14.141987815727997,4
